date,CHN_NGDP_RPCH,CHN_PCPI,CHN_PPPEX,COL_NGDP_RPCH,COL_PCPI,COL_PPPEX,COL_TMG_RPCH,COL_TXG_RPCH,USA_NGDP_RPCH,USA_PCPI,USA_PPPEX,USA_TMG_RPCH,USA_TXG_RPCH
1990-12-31,3.888,35.144,1.712,4.282,6.844,169.869,10.617,18.623,1.886,130.658,1.0,2.915,8.567
1991-12-31,8.996,36.339,1.762,2.372,8.919,207.15,-5.006,10.657,-0.108,136.167,1.0,0.454,6.717
1992-12-31,14.277,38.664,1.859,4.353,11.329,249.162,24.65,7.981,3.522,140.308,1.0,9.426,7.524
1993-12-31,13.879,44.372,2.091,5.71,13.873,301.577,44.905,11.825,2.752,144.475,1.0,10.005,3.251
1994-12-31,13.029,55.139,2.465,5.147,17.043,370.911,21.316,15.551,4.029,148.225,1.0,13.353,9.571
1995-12-31,10.969,64.379,2.743,5.202,20.602,431.78,7.877,-5.448,2.684,152.383,1.0,9.007,11.65
1996-12-31,9.921,69.722,2.872,2.056,24.888,495.539,1.389,-1.091,3.772,156.858,1.0,9.376,8.887
1997-12-31,9.247,71.666,2.869,3.43,29.486,569.176,18.612,5.596,4.447,160.525,1.0,14.409,14.485
1998-12-31,7.856,71.111,2.808,0.57,34.985,645.992,1.123,6.698,4.481,163.008,1.0,11.849,2.176
1999-12-31,7.68,70.116,2.733,-4.204,38.79,717.422,-23.694,1.172,4.795,166.583,1.0,12.874,4.177
2000-12-31,8.472,70.366,2.729,2.925,42.366,779.773,11.056,-1.815,4.077,172.192,1.0,12.961,9.927
2001-12-31,8.319,70.866,2.725,1.678,45.738,812.301,14.695,0.745,0.954,177.042,1.0,-3.361,-6.331
2002-12-31,9.115,70.344,2.703,2.504,48.642,847.57,-1.115,-4.505,1.696,179.867,1.0,4.284,-3.695
2003-12-31,10.021,71.136,2.723,3.918,52.105,887.925,4.002,5.781,2.796,184.0,1.0,6.097,2.889
2004-12-31,10.114,73.861,2.833,5.333,55.183,927.686,9.84,11.579,3.852,188.908,1.0,11.211,8.977
2005-12-31,11.389,75.176,2.868,4.447,57.968,951.445,19.213,11.24,3.483,195.267,1.0,7.023,7.611
2006-12-31,12.71,76.413,2.889,6.717,60.463,976.571,16.587,9.26,2.783,201.558,1.0,6.075,10.047
2007-12-31,14.247,80.095,3.033,6.738,63.814,1000.336,16.659,7.865,2.011,207.344,1.0,1.93,6.996
2008-12-31,9.592,84.827,3.193,3.283,68.282,1056.868,6.779,7.423,0.122,215.254,1.0,-3.271,5.862
2009-12-31,9.446,84.211,3.168,1.14,71.145,1092.818,-10.476,5.765,-2.6,214.565,1.0,-15.47,-11.868
2010-12-31,10.611,86.885,3.326,4.495,72.758,1120.925,11.854,-0.162,2.709,218.076,1.0,15.374,15.145
2011-12-31,9.551,91.693,3.524,6.948,75.243,1168.243,23.359,13.742,1.55,224.923,1.0,5.517,7.452
2012-12-31,7.848,94.086,3.561,3.913,77.632,1203.585,8.992,4.789,2.281,229.586,1.0,2.65,3.95
2013-12-31,7.771,96.502,3.664,5.134,79.201,1206.679,3.788,3.337,1.842,232.952,1.0,2.008,2.937
2014-12-31,7.391,98.482,3.759,4.499,81.503,1220.607,12.114,2.586,2.288,236.715,1.0,5.567,4.457
2015-12-31,7.018,100.0,3.871,2.956,85.57,1276.479,-6.523,-0.311,2.707,237.002,1.0,5.785,-0.354
2016-12-31,6.851,102.121,3.989,2.088,91.994,1285.21,-12.647,-1.353,1.668,240.005,1.0,1.107,0.632
2017-12-31,6.947,103.674,4.184,1.359,95.959,1314.787,-0.647,0.465,2.242,245.121,1.0,4.478,4.129
2018-12-31,6.751,105.673,4.228,2.564,99.068,1343.37,8.582,-6.577,2.945,251.1,1.0,5.066,4.216
2019-12-31,5.951,108.739,4.241,3.187,102.557,1372.523,1.54,0.315,2.295,255.652,1.0,0.489,0.099
2020-12-31,2.242,111.447,4.239,-7.252,105.146,1374.896,-16.1,-6.055,-2.768,258.851,1.0,-5.797,-10.149
