date,next_year_coffee_avg,CHN_PPPEX,CHN_PCPI,USA_PCPI,COL_PPPEX,COL_PCPI
1990-12-31,85.01798418972332,1.712,35.144,130.658,169.869,6.844
1991-12-31,64.96482213438735,1.762,36.339,136.167,207.15,8.919
1992-12-31,68.04900398406375,1.859,38.664,140.308,249.162,11.329
1993-12-31,144.07310756972112,2.091,44.372,144.475,301.577,13.873
1994-12-31,146.19056224899597,2.465,55.139,148.225,370.911,17.043
1995-12-31,117.44737903225807,2.743,64.379,152.383,431.78,20.602
1996-12-31,184.6077689243028,2.872,69.722,156.858,495.539,24.888
1997-12-31,130.2044,2.869,71.666,160.525,569.176,29.486
1998-12-31,103.54538152610442,2.808,71.111,163.008,645.992,34.985
1999-12-31,89.6066,2.733,70.116,166.583,717.422,38.79
2000-12-31,54.94959016393443,2.729,70.366,172.192,779.773,42.366
2001-12-31,53.37931726907631,2.725,70.866,177.042,812.301,45.738
2002-12-31,61.89799196787149,2.703,70.344,179.867,847.57,48.642
2003-12-31,76.02309236947791,2.723,71.136,184.0,887.925,52.105
2004-12-31,107.2800796812749,2.833,73.861,188.908,927.686,55.183
2005-12-31,107.699,2.868,75.176,195.267,951.445,57.968
2006-12-31,117.28052208835341,2.889,76.413,201.558,976.571,60.463
2007-12-31,131.97608695652173,3.033,80.095,207.344,1000.336,63.814
2008-12-31,125.35892857142858,3.193,84.827,215.254,1056.868,68.282
2009-12-31,163.75436507936507,3.168,84.211,214.565,1092.818,71.145
2010-12-31,253.18705179282867,3.326,86.885,218.076,1120.925,72.758
2011-12-31,174.60615079365078,3.524,91.693,224.923,1168.243,75.243
2012-12-31,125.86170634920636,3.561,94.086,229.586,1203.585,77.632
2013-12-31,177.6769841269841,3.664,96.502,232.952,1206.679,79.201
2014-12-31,132.35396825396825,3.759,98.482,236.715,1220.607,81.503
2015-12-31,136.2718253968254,3.871,100.0,237.002,1276.479,85.57
2016-12-31,132.89621513944223,3.989,102.121,240.005,1285.21,91.994
2017-12-31,112.6654761904762,4.184,103.674,245.121,1314.787,95.959
2018-12-31,110.28412698412698,4.228,105.673,251.1,1343.37,99.068
2019-12-31,110.20555555555556,4.241,108.739,255.652,1372.523,102.557
